PositionX,PositionY,PositionZ,RotationX,RotationY,RotataionZ,Speed,SpeedX,SpeedY,SpeedZ
-10.89045,9.498595,95.66165,43.38828,352.7638,312.2153,14.28328,10.22256,-6.990322,7.116661
-10.49525,9.232396,95.95431,43.39625,352.8463,326.2792,14.12117,10.05577,-6.871607,7.146321
-10.13668,8.993891,96.28274,43.40229,352.9092,338.9959,13.72076,9.294616,-6.219305,7.949182
-9.976956,8.885931,96.4636,43.40472,352.9349,349.3424,13.50293,8.711852,-5.832948,8.509381
-9.702901,8.690232,96.8592,43.40865,352.9767,349.3459,13.09444,7.24124,-5.0984,9.645477
-9.481902,8.49264,97.25754,27.14004,355.4643,350.7814,12.74858,5.847281,-5.034659,10.1483
-9.287347,8.308317,97.64479,23.56811,355.92,350.9685,11.93815,5.027861,-4.741656,9.734303
-9.107647,8.140123,98.03239,23.55752,355.9391,350.9706,11.59902,4.634914,-4.343073,9.705287
-8.939764,7.991017,98.4265,23.55859,355.9525,350.9719,11.41986,4.323914,-3.887529,9.828733
-8.859709,7.923817,98.62723,23.55902,355.9579,350.9724,11.39447,4.187307,-3.653299,9.947551
-8.632564,7.75876,99.25008,23.55989,355.9702,350.9738,11.45425,3.843715,-2.78956,10.42324
-8.491114,7.680056,99.68305,23.56024,355.976,350.9746,11.571,3.642601,-2.16715,10.76676
-8.356808,7.628672,100.131,23.56045,355.9804,350.9753,11.76169,3.460453,-1.492955,11.14153
-8.292167,7.613583,100.3604,23.56051,355.9821,350.9756,11.87498,3.371892,-1.161731,11.32678
-8.167476,7.605955,100.8306,23.56058,355.985,350.9762,12.14073,3.214872,-0.4105474,11.70014
-7.99095,7.652435,101.5635,23.56054,355.9881,350.977,12.64567,3.000933,0.7408524,12.26207
-7.934788,7.682569,101.8141,23.56051,355.9888,350.9773,12.80396,2.930108,1.090722,12.41636
-7.772876,7.819973,102.5858,23.56034,355.9906,350.978,13.39327,2.757416,2.257958,12.91039
-7.721064,7.880025,102.8485,23.56028,355.9911,350.9782,13.57241,2.699604,2.598572,13.04492
-7.620144,8.021852,103.3822,23.56013,355.9918,350.9787,13.97055,2.605051,3.33723,13.31363
-7.522686,8.190143,103.9252,23.55996,355.9924,350.9791,14.36234,2.516743,4.01372,13.5585
-7.42808,8.384802,104.4767,23.55978,355.9929,350.9796,14.74483,2.441705,4.672643,13.77005
-7.336121,8.603362,105.0357,23.5596,355.9932,350.98,15.12666,2.374571,5.287894,13.97196
-7.246581,8.84341,105.6001,23.5594,355.9935,350.9805,15.45064,2.312444,5.839131,14.11663
-7.159564,9.100085,106.167,23.5592,355.9938,350.9809,15.69273,2.249662,6.284452,14.20234
-7.074986,9.369342,106.7335,23.559,355.994,350.9814,15.82451,2.18752,6.620296,14.20569
-6.992608,9.648247,107.2984,23.55879,355.9942,350.9818,15.89416,2.130776,6.877081,14.17003
-6.912145,9.934639,107.8611,23.55859,355.9944,350.9822,15.92905,2.0811,7.075861,14.11863
-6.833323,10.2269,108.4217,23.54524,355.8611,350.9741,15.94458,2.038642,7.231297,14.0635
-6.756129,10.52383,108.9802,23.49009,355.3058,350.9393,15.94957,1.999566,7.354542,14.01075
-6.68119,10.82466,109.537,23.37839,354.1889,350.8708,15.94928,1.949525,7.456157,13.96369
-6.644969,10.9764,109.8147,23.29952,353.4076,350.8241,15.94813,1.914479,7.501903,13.9427
-6.544242,11.43666,110.6459,22.97039,350.2099,350.6453,15.94263,1.7425,7.631213,13.88869
-6.514319,11.5918,110.9223,22.83089,348.8822,350.5769,15.94023,1.656892,7.674511,13.87254
-6.461985,11.90485,111.4741,22.51038,345.8857,350.4355,15.9343,1.435709,7.765521,13.8397
-6.422055,12.22192,112.0242,22.13904,342.4949,350.2975,15.9263,1.143724,7.865821,13.80101
-6.407638,12.38212,112.2984,21.9362,340.6736,350.2332,15.92126,0.9706972,7.920418,13.7772
-6.390678,12.87018,113.1165,21.26898,334.8017,350.0738,15.90032,0.3470982,8.104634,13.67532
-6.404377,13.20245,113.6564,20.78385,330.616,350.0053,15.87962,-0.1487205,8.244999,13.57057
